Row Labels,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6
chdail,0,0.000116116,0,5.80579E-05,0.000406483,0
chary,0,0,0,0,0,0
chalchkal,0,0,0,0,0,0
chaldar,7.63561E-05,1.52712E-05,3.05424E-05,1.52712E-05,0,1.52712E-05
chdaiil,0,0.000276059,0,0,0.000644261,0
chaldol,1.52712E-05,1.52712E-05,6.10849E-05,1.52712E-05,4.58225E-05,0
cheesol,0,0,0.000828176,9.20195E-05,0,0
cheedor,0,0,0.000736156,0,0.000184075,0
chkair,0,0,0,0,0,0
choral,1.52712E-05,1.52712E-05,3.05424E-05,7.63561E-05,0,1.52712E-05
chyain,0,0.000116116,0,0.000290289,0.000174207,0
cholor,1.52712E-05,3.05424E-05,4.58136E-05,0,1.52742E-05,4.58136E-05
daiil,5.80579E-05,0.000116116,0,0,0.000406483,0
ckhshd,0,0,0.000464463,0,5.80691E-05,5.80579E-05
chty,0,0,3.39617E-05,6.79233E-05,0.000203809,3.39617E-05
chyshy,0,0.000406405,0,0,0.000116138,5.80579E-05
dolol,0,3.05424E-05,3.05424E-05,4.58136E-05,1.52742E-05,3.05424E-05
do,7.63561E-05,0,3.05424E-05,1.52712E-05,1.52742E-05,1.52712E-05
dydy,0,0.000464463,0,5.80579E-05,5.80691E-05,0
eed,0,3.05424E-05,3.05424E-05,1.52712E-05,4.58225E-05,3.05424E-05
kchal,0.000101885,6.79233E-05,3.39617E-05,0,0,0.000135847
kchedy,0,0,0,0,0,0
fan,0,0,0,0,0,0
ky,0,0,0.000116116,0.000290289,0.000174207,0
oshd,0,0,0.000116116,0.000174174,0.000290345,0
oldam,0.00020377,3.39617E-05,3.39617E-05,6.79233E-05,0,0
oldor,3.39617E-05,0.000135847,0,6.79233E-05,0,0.000101885
otain,7.63561E-05,1.52712E-05,1.52712E-05,0,1.52742E-05,3.05424E-05
qochom,1.52712E-05,0,1.52712E-05,7.63561E-05,3.05483E-05,1.52712E-05
qotor,5.80579E-05,0,0.000464463,0,0,5.80579E-05
osol,6.79233E-05,0.000101885,0,3.39617E-05,0,0.000135847
qokeey,0,0.000464463,0,5.80579E-05,5.80691E-05,0
qocho,1.52712E-05,4.58136E-05,0,3.05424E-05,1.52742E-05,4.58136E-05
otar,4.58136E-05,1.52712E-05,3.05424E-05,3.05424E-05,3.05483E-05,0
shalshal,0,1.52712E-05,1.52712E-05,4.58136E-05,3.05483E-05,4.58136E-05
shs,0,1.52712E-05,4.58136E-05,4.58136E-05,1.52742E-05,3.05424E-05
shkal,0.000101885,0,0.000135847,6.79233E-05,0,3.39617E-05
shkol,6.10849E-05,1.52712E-05,0,4.58136E-05,1.52742E-05,1.52712E-05
shkor,6.10849E-05,3.05424E-05,3.05424E-05,1.52712E-05,0,1.52712E-05
sholo,3.05424E-05,1.52712E-05,0,6.10849E-05,1.52742E-05,3.05424E-05
yeeol,0,0,0,0,0,0
ydyal,0.000169808,3.39617E-05,0,3.39617E-05,0.000101905,0
tol,3.39617E-05,6.79233E-05,0.00020377,3.39617E-05,0,0
aim,3.05424E-05,4.58136E-05,0,1.52712E-05,3.05483E-05,1.52712E-05
alaiin,3.05424E-05,1.52712E-05,0,4.58136E-05,3.05483E-05,1.52712E-05
aimar,0.000348347,5.80579E-05,0,0.000116116,0,0
aram,0,0,0,0,0,0
chedychy,0,0.000368078,0,0,0,0.000460098
chdyod,0,0,0,0,0,0.001350696
cheyar,0,0.000116116,0.000116116,0,0.000290345,0
cheeedor,0,0,0.001350696,0,0,0
chedyy,0.000101885,0,0,0.000135847,3.39682E-05,3.39617E-05
choan,0,0,0,0,0.001350957,0
cheedol,3.05424E-05,4.58136E-05,3.05424E-05,1.52712E-05,1.52742E-05,0
choldal,0.000116116,0.000232231,0.000174174,0,0,0
choldy,0,6.79233E-05,0.000135847,3.39617E-05,0,6.79233E-05
chyshol,0,0,0,0.000174174,0.000290345,5.80579E-05
daiinar,0.000406405,0,0,5.80579E-05,5.80691E-05,0
choshar,0,0.000232231,0,0.000232231,5.80691E-05,0
choshal,0,0,5.80579E-05,0.000406405,5.80691E-05,0
chpar,1.52712E-05,1.52712E-05,1.52712E-05,1.52712E-05,7.63708E-05,0
ckhchy,0,9.20195E-05,0.000736156,0,0,0
ctheey,0,0.001350696,0,0,0,0
chorol,3.05424E-05,4.58136E-05,3.05424E-05,1.52712E-05,0,1.52712E-05
chshdy,0,0,0.000174174,0,0.000232276,0.000116116
chsair,0.000101885,3.39617E-05,0,3.39617E-05,0,0.000135847
cholo,0.000169808,3.39617E-05,0,6.79233E-05,0,3.39617E-05
dyedy,0,0.000101885,0.000101885,6.79233E-05,3.39682E-05,0
dyain,0,5.80579E-05,0.000116116,0,0,0.000348347
daiis,0,0,0,0,0,0
dainol,0,6.79233E-05,3.39617E-05,0.000135847,6.79364E-05,0
dalal,0,0,0.000101885,6.79233E-05,6.79364E-05,6.79233E-05
darar,0.000290289,5.80579E-05,0,0.000174174,0,0
keey,0,0.000169808,3.39617E-05,3.39617E-05,0,6.79233E-05
eo,0,0.000232231,0.000174174,0.000116116,0,0
oaly,0,0,0,0,0,0.001350696
okair,0.00020377,3.39617E-05,3.39617E-05,0,0,3.39617E-05
odaiin,0,0,0,0,0,0
oey,3.39617E-05,0,6.79233E-05,0.000169808,0,3.39617E-05
okeey,0,0.000232231,0,0,0.000232276,5.80579E-05
ocheey,0,0.000368078,0,0,0,0.000460098
omar,1.52712E-05,0,3.05424E-05,3.05424E-05,4.58225E-05,1.52712E-05
qodor,0.000184039,0,0.000644137,0,0,0
qoeeo,0,1.52712E-05,1.52712E-05,7.63561E-05,1.52742E-05,1.52712E-05
qosor,0.000174174,0,5.80579E-05,0,0,0.000290289
