word,tfidf_balneological,tfidf_herbal,tfidf_recipes,tfidf_stars
polchedy,1.43065E-05,3.85375E-05,0,4.67892E-05
qoain,0,9.28532E-05,0,0.000140918
pchor,0.000103411,0,0,8.45511E-05
otshey,0.000413645,0,0,0
por,6.89408E-05,0,0,0.000112735
paiin,2.8613E-05,3.85375E-05,0,3.50919E-05
qokshy,0,3.85375E-05,0.000228826,4.67892E-05
qokear,0.000103411,0,0,8.45511E-05
qoteol,1.43065E-05,7.70751E-05,0,3.50919E-05
qopchy,0.000103411,0,0,8.45511E-05
qokeedar,0,0.000185706,0,0.000112735
qopaiin,1.43065E-05,3.85375E-05,0,4.67892E-05
qokeeor,0,0,0,0.000338204
qoko,0,0,0,0
rair,0,0.000185706,0,0.000112735
rchey,0.000413645,0,0,0
shckhedy,0.000413645,0,0,0
ro,3.44704E-05,0,0,0.000140918
raraiin,0,9.28532E-05,0,0.000140918
sheed,3.44704E-05,0,0,0.000140918
shd,2.8613E-05,0.000115613,0,1.16973E-05
shaiin,0,0,0,0.000338204
tcheo,0,0.00027856,0,8.45511E-05
ykeeol,0,9.28532E-05,0,0.000140918
ypchdy,0.000103411,0.00027856,0,0
yteeody,6.89408E-05,0,0,0.000112735
ycheeo,0,0,0.000551337,0.000140918
yteody,4.29195E-05,3.85375E-05,0,2.33946E-05
ysheedy,0.000103411,0,0,8.45511E-05
ydaiin,1.43065E-05,7.70751E-05,0,3.50919E-05
ail,0,0,0,0.000281837
alkaiin,3.44704E-05,0,0,0.000112735
chcthey,6.89408E-05,0,0,8.45511E-05
chckhhy,0,9.28532E-05,0,0.000112735
alam,0,0,0,0.000281837
chcthhy,2.8613E-05,3.85375E-05,0,2.33946E-05
chckhal,2.8613E-05,0,0.000228826,2.33946E-05
alom,3.44704E-05,0,0,0.000112735
alkam,6.89408E-05,0,0,8.45511E-05
cheockhy,1.43065E-05,3.85375E-05,0,3.50919E-05
cheeor,2.8613E-05,3.85375E-05,0,2.33946E-05
chkedy,0.000103411,0.000185706,0,0
cheoar,0,9.28532E-05,0,0.000112735
cheodain,0,0,0,0.000281837
chokeey,0,9.28532E-05,0,0.000112735
chekaiin,0,0.00027856,0.001102674,0
chr,6.89408E-05,0,0,8.45511E-05
chokar,3.44704E-05,0,0,0.000112735
chekey,0,0.000371413,0,2.81837E-05
cheoky,4.29195E-05,3.85375E-05,0,1.16973E-05
choaiin,6.89408E-05,0,0,8.45511E-05
cheodaiin,0,0,0,0.000281837
chetain,6.89408E-05,0,0,8.45511E-05
chodain,3.44704E-05,0,0,0.000112735
cheedar,3.44704E-05,0,0,0.000112735
chepy,4.29195E-05,3.85375E-05,0,1.16973E-05
dalol,2.8613E-05,7.70751E-05,0,1.16973E-05
csedy,0.000344704,0,0,0
lain,0,9.28532E-05,0,0.000112735
ldar,0,0,0,0
eedy,1.43065E-05,7.70751E-05,0.000457651,0
lam,6.89408E-05,0,0,8.45511E-05
kshdy,0.000103411,0.000185706,0,0
lchal,0,0,0,0.000281837
kcheody,0,9.28532E-05,0,0.000112735
lchor,4.29195E-05,3.85375E-05,0,1.16973E-05
lkal,0,0,0,0.000281837
ofchdy,0,0,0,0
lkeol,0,3.85375E-05,0.000228826,3.50919E-05
ockhy,1.43065E-05,0.000115613,0,1.16973E-05
lkchdy,0,0,0,0.000281837
lteedy,6.89408E-05,0,0,8.45511E-05
lkol,2.8613E-05,3.85375E-05,0,2.33946E-05
lom,0.000103411,0,0,5.63674E-05
olkeeody,6.89408E-05,0,0,8.45511E-05
okeeol,3.44704E-05,0,0,0.000112735
olkol,0.000344704,0,0,0
okcheey,0,9.28532E-05,0,0.000112735
okaral,6.89408E-05,0,0,8.45511E-05
olal,6.89408E-05,0,0,8.45511E-05
okshy,2.8613E-05,0,0.000457651,1.16973E-05
okedal,1.43065E-05,3.85375E-05,0,3.50919E-05
osaiin,2.8613E-05,3.85375E-05,0,2.33946E-05
oteo,0,0,0,0.000281837
orair,1.43065E-05,3.85375E-05,0,3.50919E-05
otechdy,6.89408E-05,0,0,8.45511E-05
ot,1.43065E-05,3.85375E-05,0,3.50919E-05
oteeody,3.44704E-05,0,0,0.000112735
opar,2.8613E-05,3.85375E-05,0,2.33946E-05
oltedy,2.8613E-05,3.85375E-05,0,2.33946E-05
pcheody,0,9.28532E-05,0,0.000112735
pchdar,1.43065E-05,7.70751E-05,0,2.33946E-05
pchedal,3.44704E-05,0,0,0.000112735
pchol,6.89408E-05,0,0,8.45511E-05
qokchd,0,9.28532E-05,0,0.000112735
qokeechy,0,0,0,0.000281837
qopar,0.000137882,0,0,2.81837E-05
qolkeey,4.29195E-05,3.85375E-05,0,1.16973E-05
qopchol,0.000103411,0,0,5.63674E-05
qolkain,0.000137882,9.28532E-05,0,0
qotched,0,0,0,0.000281837
qokody,1.43065E-05,0.000115613,0,1.16973E-05
qokeeol,0,0,0,0.000281837
qotaly,1.43065E-05,3.85375E-05,0,3.50919E-05
sham,6.89408E-05,0,0,8.45511E-05
shekain,0,0,0.001102674,8.45511E-05
sheeey,3.44704E-05,0,0,0.000112735
shes,0.000137882,9.28532E-05,0,0
sshedy,4.29195E-05,3.85375E-05,0,1.16973E-05
tey,0.000103411,0,0,5.63674E-05
teody,6.89408E-05,0,0,8.45511E-05
solkeedy,0.000137882,0,0,2.81837E-05
tody,0,0,0,0
ytey,3.44704E-05,0.000371413,0,0
ytchy,2.8613E-05,7.70751E-05,0,1.16973E-05
ytchey,4.29195E-05,3.85375E-05,0,1.16973E-05
ykair,0,0.000185706,0,8.45511E-05
ykeeo,1.43065E-05,7.70751E-05,0,2.33946E-05
ykeeody,3.44704E-05,0.000371413,0,0
