word_type,tfidf_divcom,tfidf_desphaera,tfidf_herbal,tfidf_nathist,plaintext,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,PC1,PC2,cluster
ocheey,0.0,0.000115403,0.0,5.74594e-05,cu,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
olkedal,0.0,0.000115403,0.0,5.74594e-05,us,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
oteos,0.0,0.000115403,0.0,5.74594e-05,uo,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
qofchaiin,0.0,0.000115403,0.0,5.74594e-05,ca,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
qokeedal,0.0,0.000115403,0.0,5.74594e-05,th,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
reeos,0.0,0.000115403,0.0,5.74594e-05,od,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
qoteeo,0.0,0.000115403,0.0,5.74594e-05,is,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
sheoy,0.0,0.000115403,0.0,5.74594e-05,ab,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
saleod,0.0,0.000115403,0.0,5.74594e-05,in,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
shckhdy,0.0,0.000115403,0.0,5.74594e-05,fi,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
tcheedain,0.0,0.000115403,0.0,5.74594e-05,ru,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
yshol,0.0,0.000115403,0.0,5.74594e-05,re,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
ykom,0.0,0.000115403,0.0,5.74594e-05,it,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
ykdaiin,0.0,0.000115403,0.0,5.74594e-05,ir,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
