word,tfidf_balneological2,tfidf_herbal2,tfidf_herbal5,tfidf_recipes3,tfidf_starsx,tfidf_stars3
keedy,0.000172271,0.00020531,0.000170649,0,0.000179143,0.000193351
qotal,0.000272007,0.0000342,0.000255974,0,0.000179143,0.000139213
cheody,0,0,0,0,0,0
opchedy,0.000172271,0.000136873,0.0000853,0,0.000179143,0.000193351
dair,0.0000997,0.00020531,0.000255974,0,0.000179143,0.000216554
lkaiin,0.000491709,0,0,0,0,0.001864119
sar,0.000524261,0.000152196,0.000189754,0,0,0.000343995
air,0,0,0,0,0,0
chody,0,0,0,0,0,0
checkhy,0.000423442,0.000532687,0,0,0.000398397,0.000275196
cheky,0.0000907,0.000581712,0.000597272,0,0.000179143,0.0000773
lchey,0.000463769,0.000228295,0.000379507,0,0,0.000275196
dam,0,0,0,0,0,0
lkeedy,0.0000453,0.0000342,0.000170649,0,0.000179143,0.00024749
r,0.000403278,0.000380491,0.001138521,0,0,0.000171998
lkeey,0.000103411,0,0.000324386,0,0,0.001058515
lol,0.000504097,0,0.000189754,0,0.000398397,0.000206397
lor,0.000108803,0.0000684,0.0000853,0,0.000537429,0.000162415
qokchedy,0,0,0,0,0,0
aiiin,0.000302458,0.000152196,0,0,0.000398397,0.000326796
olchedy,0.000930701,0.000130091,0,0,0,0.000264629
otey,0.000342786,0.000228295,0.000189754,0,0,0.000257997
dshedy,0,0,0,0,0,0
l,0.000201639,0.0000761,0.000569261,0,0,0.000361195
lkain,0.000206822,0,0,0,0.000681063,0.00082329
sheckhy,0.000758349,0.000260182,0,0,0,0.000323435
okey,0.000241967,0.000228295,0.000569261,0,0,0.000275196
otchedy,0.000262131,0.000152196,0.000379507,0,0,0.000292396
pchedy,0.000154137,0.000102655,0.0000853,0,0.000179143,0.0000928
cheo,0,0,0.000973157,0,0.001362127,0.00082329
chor,0,0,0,0,0,0
cheor,0,0,0,0,0,0
qopchedy,0.000344704,0,0,0,0.000681063,0.000617467
tchedy,0,0,0,0,0,0
sor,0.000463769,0.000152196,0,0,0.000398397,0.000103199
odaiin,0,0,0,0,0,0
qoteey,0.000546343,0,0,0,0,0.000978662
sal,0.000758349,0,0.000324386,0,0,0.000235226
lkar,0.000310234,0,0,0,0.000681063,0.000588064
o,0.0000635,0.000171092,0.000426623,0,0.000179143,0.0000928
ytaiin,0.000620467,0.000260182,0,0,0,0.000294032
lkedy,0.0000635,0.0000684,0.0000853,0,0.000179143,0.000139213
qokchy,0.000181475,0.000380491,0,0,0.000796793,0.000223597
shody,0,0,0,0,0,0
chal,0.000437074,0,0,0,0,0.000932059
oraiin,0.000379174,0.000520363,0,0,0,0.000382242
ykeey,0.000181475,0.000228295,0.000569261,0,0,0.000223597
checthy,0.000585997,0.000390272,0,0,0,0.000205822
ches,0.000413645,0.000390272,0,0,0,0.000352838
olkedy,0.000723878,0.000130091,0,0,0,0.000147016
chckhey,0,0,0,0,0,0
chear,0.000437074,0,0,0,0,0.000838854
dchedy,0.0000997,0.0000684,0.000255974,0,0.000179143,0.0000696
otchdy,0,0,0,0,0,0
yteedy,0.000120983,0.000228295,0.000948768,0,0,0.000206397
orain,0.000141147,0.000304393,0.000189754,0,0,0.000223597
rain,0.000206822,0,0,0,0.000681063,0.000529258
olchey,0.000154137,0.0000342,0.0000853,0,0.000179143,0.0000309
qokchey,0.0000453,0.0000342,0.0000853,0,0.000358286,0.000116011
qotchedy,0.000120983,0,0.000189754,0,0.003187172,0.000154798
qotol,0.000241967,0.0000761,0.000379507,0,0,0.000154798
sheor,0.000379174,0,0.000648772,0,0,0.000323435
ytedy,0.000221803,0.000684884,0.000569261,0,0,0.0000172
olshedy,0.000585997,0.000130091,0,0,0,0.000147016
qokeeey,0.000120983,0.0000761,0,0,0.000398397,0.000257997
qotchdy,0,0,0,0,0,0
tol,0.000262131,0.000228295,0.000189754,0,0,0.000103199
cheal,0.000327806,0,0,0,0,0.000745648
dor,0,0,0,0,0,0
