word,tfidf_balneological,tfidf_herbal,tfidf_recipes,tfidf_stars,PC1,PC2,cluster
ylkaiin,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
ytshedy,0.0,9.28532e-05,0.000551337,0.0,-1.7347575689848374,2.2316509648495035,0
yfchey,3.44704e-05,9.28532e-05,0.0,0.0,-0.6329397455272346,-0.5954082720472935,0
ykey,0.0,0.000371413,0.0,0.0,-2.220233116158808,-2.9086610208693426,1
yl,0.0,9.28532e-05,0.0,2.81837e-05,-0.6663209327897748,-0.5566125060564278,0
ycheeody,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
ydain,3.44704e-05,9.28532e-05,0.0,0.0,-0.6329397455272346,-0.5954082720472935,0
ykeol,0.0,9.28532e-05,0.0,2.81837e-05,-0.6663209327897748,-0.5566125060564278,0
ykchy,3.44704e-05,9.28532e-05,0.0,0.0,-0.6329397455272346,-0.5954082720472935,0
ykeo,0.0,0.000371413,0.0,0.0,-2.220233116158808,-2.9086610208693426,1
ychor,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
ychedaiin,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
ykchey,0.0,9.28532e-05,0.0,2.81837e-05,-0.6663209327897748,-0.5566125060564278,0
ycheain,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
tshod,0.0,0.0,0.000551337,2.81837e-05,-1.0173916073064102,3.0091830134814512,2
yar,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
ytaly,3.44704e-05,9.28532e-05,0.0,0.0,-0.6329397455272346,-0.5954082720472935,0
tshdol,0.0,0.0,0.000551337,2.81837e-05,-1.0173916073064102,3.0091830134814512,2
tshed,3.44704e-05,9.28532e-05,0.0,0.0,-0.6329397455272346,-0.5954082720472935,0
ytedar,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
ycheody,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
